latest_saledate,count
2020-07-03,5
2019-10-14,5
2018-03-03,5
2020-09-20,4
2019-01-12,4
2019-01-05,4
2020-01-08,4
2018-08-06,4
2018-01-29,4
2019-01-28,4
2020-01-01,4
2020-10-24,4
2018-07-09,4
2018-02-26,4
2018-01-22,4
2020-01-23,4
2018-02-06,4
2019-12-01,4
2020-11-22,4
2021-01-13,4
2020-01-02,4
2019-12-24,4
2018-03-05,4
2019-09-01,4
2019-01-22,4
2020-12-06,3
2018-02-12,3
2021-01-21,3
2019-12-26,3
2019-06-30,3
2020-03-21,3
2018-12-26,3
2018-12-23,3
2021-01-06,3
2020-09-19,3
2020-08-16,3
2019-07-04,3
2021-01-15,3
2019-05-25,3
2020-12-13,3
2020-11-28,3
2019-10-12,2
2020-11-15,2
2020-05-17,2
2018-10-07,2
2021-01-12,2
2018-03-18,2
2021-01-23,2
2019-10-05,2
2018-06-18,2
2018-05-28,2
2020-06-20,2
2021-01-29,2
2020-08-08,2
2020-03-15,2
2021-01-20,2
2021-01-26,2
2019-03-02,2
2018-05-20,2
2020-12-12,2
2020-01-20,2
2021-01-27,2
2020-08-29,2
2019-09-02,2
2020-01-11,2
2020-05-25,2
2021-01-01,2
2020-11-29,2
2020-09-12,2
2020-11-08,2
2019-11-16,2
2018-07-05,2
2020-02-29,2
2020-05-30,2
2019-05-05,2
2020-02-01,2
2018-11-12,2
2020-07-18,2
2018-09-02,2
2020-04-26,2
2019-11-03,2
2019-11-23,2
2018-12-02,1
2020-02-22,1
2019-06-29,1
2020-03-01,1
2019-06-02,1
2018-08-13,1
2020-08-02,1
2018-09-30,1
2019-07-21,1
2020-04-19,1
2019-02-10,1
2020-01-26,1
2019-07-14,1
2019-11-09,1
2020-10-03,1
2021-01-09,1
2019-04-21,1
2019-12-28,1
2018-04-22,1
2019-07-27,1
2018-09-16,1
2019-04-14,1
2018-07-15,1
2020-05-31,1
2020-11-27,1
2021-01-22,1
2021-01-25,1
2021-01-28,1
2020-09-05,1
2020-06-27,1
2021-01-24,1
2019-12-15,1
2020-06-14,1
2020-11-21,1
2019-09-22,1
2020-07-26,1
2019-03-03,1
2021-01-30,1
2021-01-17,1
2020-11-01,1
2020-12-27,1
2018-03-04,1
2019-08-18,1
2020-07-19,1
2018-10-21,1
2019-02-24,1
2021-01-16,1
2020-06-28,1
2020-08-15,1
2018-08-12,1
2019-09-21,1
2020-03-28,1
2019-07-06,1
2019-11-24,1
2019-06-16,1
2019-05-26,1
2020-12-19,1
2018-08-19,1
2019-09-11,1
2019-05-18,1
2019-06-01,1
2020-10-18,1
2019-10-26,1
2020-01-05,1
2021-01-19,1
2018-07-08,1
2018-11-24,1
2019-08-25,1
2019-05-04,1
2019-11-02,1
2019-11-30,1
2020-05-03,1
2019-05-27,1
2020-01-04,1
2019-12-22,1
2020-06-06,1
2020-10-25,1
2019-02-03,1
2019-03-09,1
2019-12-21,1
2020-12-26,1
2020-12-25,1
2019-03-10,1
2019-09-29,1
2018-04-01,1
2021-01-14,1
2019-01-20,1
2019-09-07,1
2019-08-10,1
2019-12-07,1
2020-05-09,1
2019-11-29,1
2019-08-03,1
2020-05-16,1
2019-09-28,1
2021-01-18,1
2020-12-24,1
2019-10-19,1
